SiteID,SiteName,Address,City,State,Zip,County,Latitude,Longitude,Notes,Group,Tower Owner,Tower Owner Site Number,Viaero POC,Site Type,Lease Area Type,Power Company,Meter Number,Telco / Fiber Provider,Telco / Fiber POC,Measurement 1 (inches),Measurement 2 (inches),Measurement 3 (inches),Measurement 4 (inches),Measurement 5 (inches),Measurement 6 (inches),Measurement 7 (inches),Measurement 8 (inches),Measurement 9 (inches),Measurement 10 (feet),Measurement 11 (feet),Walked By,Date Walked,Checked In,Checked Out,Lease Area Issues,Gate/Shelter Code,Photos Uploaded,Site Walk Form Uploaded,Measurements PDF Uploaded,Confirmation Email Recv'd,Action Needed
677,NE-WIND_SPRINGS,8002 Hwy 71,Scottsbluff,NE,69361,,42.129271,-103.675653,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,WY-TORRINGTON_SOUTH,6034 Road 47,Torrington,WY,82240,,41.99314,-104.20958,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,WY-FORT_LARAMIE,1530 E. Bliss St,Fort Laramie,WY,82212,,42.21550831,-104.5091332,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,WY-LINGLE,8061 Cemetery Raod,Lingle,WY,82223,,42.14169,-104.33042,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,NE-SCOTTSBLUFF_HOSP,4021 AVE B,Scottsbluff,NE,69361,,41.88711,-103.66495,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,WY-TORRINGTON_DT,119 West 21st Ave,Torrington,WY,82240,,42.064816,-104.185499,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,NE-MORRILL_DT,625 1/2 West Webster,Morrill,NE,69358,,41.96425353,-103.9345468,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,NE-LYMAN_WT,413 Lane Ave #1/2,Lyman,NE,69352,,41.91778231629738,-104.0369456,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,NE-MITCHELL_DT,1209 19th Ave,Mitchell,NE,69357,,41.93923611,-103.8121889,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,NE-SCOTTSBLUFF_HOSP_MICRO,4021 AVE B,Scottsbluff,NE,69361,,41.887110000000000,-103.66495,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NE-HOLDREGE_SALES,403 West Avenue, Holdrege,NE,68949,PHELPS,40.43822844,-99.37155061,Site ID 10 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,NA,Chris Bolton 308-370-1857  chris.bolton@viaero.com,ROOFTOP (49'),ROOFTOP,NPPD WHOLESALE,21863967,VIAERO,Chris Bolton,840,INSIDE CABINET,INSIDE CABINET,APPROX 900,APPROX 900,NA,NA,NA,NA,NA,NA,Cody Waite,8/6/2025,7:30:00 AM,9:05:00 AM,No rooftop access - Lift only - All measurements are approximate,No cabinet key,X,X,X,"9/7/2025
PHOTOS ONLY",COMPLETE
55,NE-HOLBROOK_WT,218 Tower Street, Holbrook,NE,68948,FURNAS,40.30448,-100.00532,Site ID 55 Phase Priority P2-2,Phase 2,City of Holbrook,NA,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"WATER TANK (132' 8"")",WATER TANK,North Central Pulic Power,30049,VIAERO,Chris Bolton,12,12,12,12,12,NA,12,36,212,NA,35.5,Mack Gees,8/7/2025,10:50:00 AM,11:35:00 AM,needs Site tech to access and Needs weed control - barrier  Tentent imporviments needed.  No ground other then to Water tower,Need site to access,X,X,X,9/7/2025,COMPLETE
166,NE-MCCOOK_DT,402 Norris Avenue, McCook,NE,69001,RED WILLOW,40.20089,-100.62614,Site ID 166,Phase 2,INDUSTRIAL TOWER WEST,,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"ROOFTOP (70' 8"")",ROOFTOP,NEBRASKA PUBLIC POWER,,,,,,,,,,,,,,,Mack Gees,,,,Need Special access-tech,1225 / KEYED,X,X,X,8/17/2025,COMPLETE
258,NE-HOLDREGE,616 West 1st Ave, Holdrege,NE,68949,PHELPS,40.43449,-99.3889,Site ID 258 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1248397,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,NPPD WHOLESALE,92511855,VIAERO,Chris Bolton,117,68,138,130,178,174,78,130,84,NA,NA,Cody Waite,8/6/2025,6:00:00 PM,7:29:00 PM,None,1225 / KEYED,X,X,X,"8/17/2025
PHOTOS ONLY",COMPLETE
278,NE-CAMBRIDGE_HOSP,1305 US HWY 6, Cambridge,NE,69022,FURNAS,40.280661,-100.180148,Site ID 278 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"ROOFTOP (15' 6"")",ROOFTOP,Twin Valley Public Power,,,,,,,,,,,,,,,Mack Gees,8/7/2025,11:45:00 AM,12:50:00 PM,All good,Special access-need tech to access roof top and Eletrical room/Shelter,X,X,X,9/3/2025,COMPLETE
280,NE-CAMBRIDGE,40834 Dr. 721, Cambridge,NE,69022,FURNAS,40.28403,-100.18739,Site ID 280 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1251617,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,Twin Valley Public Power,29264373,VIAERO,Chris Bolton,104,63,136,130,166,156,80,156,7,NA,NA,Mack Gees,8/7/2025,1:00:00 PM,2:30:00 PM,No access road,1225 / KEYED,X,X,X,8/17/2025 PHOTOS & SMD ONLY,COMPLETE
282,NE-ARAPAHOE,42366 Road 724, Arapahoe,NE,68922,,40.32106,-99.90247,Site ID 282 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1251533,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (175' 4"")",COMPOUND,NPPD/TWIN VALLEYS,20302,VIAERO,Chris Bolton,133,89,135,100,189,140,170,100,96,NA,24,Cody Waite,8/7/2025,9:05:00 AM,10:10:00 AM,None,1225 / KEYED,X,X,X,"9/7/2025
PHOTOS ONLY",COMPLETE
286,NE-OXFORD_NORTH,10201 U.S. Highway 6, Oxford,NE,68967,FURNAS,40.30758,-99.59269,Site ID 286 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1252410,Chris Bolton 308-370-1857  chris.bolton@viaero.com,GUYED TOWER (250'),COMPOUND,FURNACE COUNTY PUBLIC POWER,25382,VIAERO,Chris Bolton,131,239,282,100,211,98,28,78,65,NA,NA,Cody Waite,8/6/2025,,,None,1225 / KEYED,X,X,X,10/6/2025,COMPLETE
300,NE-WILSONVILLE,70950 Drive 412, Wilsonville,NE,69046,FURNAS,40.11789,-100.10522,Site ID 300 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1267549,Chris Bolton 308-370-1857  chris.bolton@viaero.com,GUYED TOWER (330'),COMPOUND,Dawson PUBLIC POWER,20372,Microwave,Chris Bolton,96,72,96,109,156,98,86,60,98,NA,48,Mack Gees,8/7/2025,4:45:00 PM,6:00:00 PM,Wire gap needs closed at all times,1225 / KEYED,X,X,X,"9/7/2025
PHOTOS & SWF ONLY",COMPLETE
301,NE-BEAVER_CITY,42749 Road 712, Beaver City,NE,68926,FURNAS,40.147539,-99.828081,Site ID 301 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1267550,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,Nebraska Pulic Power,20294,Microwave,Chris Bolton,9,16,18,15,13,23,20,16,240,NA,NA,Mack Gees,8/6/2025,11:00:00 AM,1:30:00 PM, Access road needs attention,1225 / KEYED,X,X,X,"9/7/2025
PHOTOS ONLY",COMPLETE
306,NE-WILCOX,404 N Briggs Street, Wilcox,NE,68982,KEARNEY,40.36941,-99.17052,Site ID 306 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1273995,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,Southern Power District,82829980,VIAERO,Chris Bolton,142,200,232,120,188,89,42,32,86,NA,NA,Cody Waite,8/5/2025,9:30:00 AM,10:45:00 AM,None,1225 / KEYED,X,X,X,"9/7/2025
PHOTOS ONLY",COMPLETE
323,NE-AXTELL,809 W. 3rd Street, Axtell,NE,68924,KEARNEY,40.47797,-99.1411,Site ID 323 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1282560,Chris Bolton 308-370-1857  chris.bolton@viaero.com,SELF-SUPPORT (120'),COMPOUND,Southern Power District,141024010,VIAERO,Chris Bolton,134,200,232,125,210,114,60,50,99,NA,NA,Cody Waite,8/6/2025,8:00:00 AM,9:55:00 AM,None,1225 / KEYED,X,X,X,"9/7/2025
PHOTOS ONLY",COMPLETE
343,NE-LOOMIS,73448 G Road, Loomis,NE,68958,PHELPS,40.4735,-99.51205,Site ID 343 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1282602,Chris Bolton 308-370-1857  chris.bolton@viaero.com,SELF-SUPPORT (80'),COMPOUND,Southern Power District,141025970,VIAERO,Chris Bolton,94,252,264,96,116,78,89,30,156,NA,NA,Brian King,8/6/2025,5:13:00 PM,7:32:00 PM,None,1225 / KEYED,X,X,X,"9/7/2025
9/16/2025",COMPLETE
424,NE-ALMA,515 Highway 183, Alma,NE,68920,HARLAN,40.10319,-99.37047,Site ID 424 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1260806,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,NEBRASKA PUBLIC POWER,158011688,VIAERO,Chris Bolton,96,180,216,156,132,204,96,156,84,NA,NA,Mack Gees,8/6/2025,5:15pm,6:30pm,Colcation,1225 / KEYED,X,X,X,9/7/2025,COMPLETE
425,NE-EUSTIS,41544 Road 746, Eustis,NE,69028,FRONTIER,40.64433,-100.06958,Site ID 425 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1276142,Chris Bolton 308-370-1857  chris.bolton@viaero.com,SELF-SUPPORT,COMPOUND,McCook PPD,131906842,VIAERO,Chris Bolton,106,170,225,140,136,164,48,170,84,NA,NA,Brian King,8/7/2025,6:01:00 PM,6:34:00 PM,None,1225/KEYED,X,X,X,9/16/2025,COMPLETE
426,NE-ELWOOD,101 Railroad Street, Elwood,NE,68937,GOSPER,40.59502,-99.86655,Site ID 426 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1270149,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,Dawson PUBLIC POWER,182002434,VIAERO,Chris Bolton,103,245,204,170,105,NA,NA,170,84,NA,NA,Brian King,8/7/2025,1:31:00 PM,3:14:00 PM,None,1225/KEYED,X,X,X,9/16/2025,COMPLETE
427,NE-BERTRAND,1135 Kellogg Street, Bertrand,NE,68927,PHELPS,40.5245,-99.64289,Site ID 427 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1312637,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,Southern Power District,135449335,VIAERO,Chris Bolton,100,220,275,150,134,40,48,0,156,NA,NA,Brian King,8/7/2025,3:17:00 PM,4:24:00 PM,None,1225 / KEYED,X,X,X,"9/16/2025
PHOTOS ONLY",COMPLETE
791,NE-STAMFORD_DT,675 W. Webster Street, Stamford,NE,68977,HARLAN,40.13347,-99.60055,Site ID 791 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,N/A,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (150' 7"")",COMPOUND,NEBRASKA PUBLIC POWER,20039,VIAERO,Chris Bolton,120,216,252,120,252,84,96,84,72,NA,264,Mack Gees,8/6/2025,1:30:00 PM,3:30:00 PM,None,1225 / KEYED,X,X,X,9/7/2025,COMPLETE
792,NE-ORLEANS_DT,109 W. Cedar Street, Orleans,NE,68966,HARLAN,40.13697,-99.45476,Site ID 792 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (150' 7"")",COMPOUND,NEBRASKA PUBLIC POWER,68628243,VIAERO,Chris Bolton,120,204,240,96,300,84,132,36,84,NA,NA,Mack Gees,8/6/2025,3:20:00 PM,5:30:00 PM,Clean access road and area,1225 / KEYED,X,X,X,9/7/2025,COMPLETE
797,NE-OXFORD_DT,501 W Cornwall St, Oxford,NE,68967,FURNAS,40.24969,-99.6386,Site ID 797 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1302988,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (150' 7"")",COMPOUND,Oxford Utiltiy,5422,VIAERO,Chris Bolton,114,216,252,96,300,60,96,36,84,NA,216,Mack Gees,8/6/2025,6:30:00 PM,8:00:00 PM,None,1225 / KEYED,X,X,X,9/7/2025,COMPLETE
949,NE-EDISON,101 Smith Street, Edison,NE,68936,FURNAS,40.27556145,-99.7806094,Site ID 949 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,Twin Valley Public Power,30487,VIAERO,Chris Bolton,90,80,174,94,194,108,72,200,84,NA,NA,Mack Gees,8/7/2025,9:20:00 AM,10:50:00 AM,No access road though Farmers field,1225 / KEYED,X,X,X,"8/17/2025
PHOTOS & SMD ONLY",COMPLETE
986,NE-HOLDREGE_EAST,1825 E. Hwy. 6 & 34, Holdrege,NE,68949,PHELPS,40.44033,-99.35607,Site ID 986 Phase Priority P2-2,Phase 2,INDUSTRIAL TOWER WEST,1288964,Chris Bolton 308-370-1857  chris.bolton@viaero.com,SELF-SUPPORT (140'),COMPOUND,NPPD WHOLESALE,92511864,VIAERO,Chris Bolton,138,90,104,93,183,170,36,155,84,NA,NA,Cody Waite,8/6/2025,2:00:00 PM,3:15:00 PM,None,1225 / KEYED,X,X,X,"9/7/2025
PHOTOS ONLY",COMPLETE
1030,NE-RAGAN_GW,1228 Cross Ave, Ragan,NE,68969,,40.3084,-99.2905,Site ID 1030 Phase Priority P2-2,Phase 2,,,Chris Bolton 308-370-1857  chris.bolton@viaero.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANCELLED
35,NE-SARGENT,502 W. Jessie, Sargent,NE,68874,CITY OF SARGENT,41.63708,-99.37193,Site ID 35 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,1300843,Chris Bolton 308-370-1857  chris.bolton@viaero.com,SELF-SUPPORT (120'),COMPOUND,UNKNOWN,123817293,VIAERO,Chris Bolton,115,232,285,100,192,60,72,60,84,NA,NA,Devan Sharp,8/13/2025,5:35:00 PM,7:05:00 PM,NONE,1225 / KEYED,X,X,X,10/3/2025,COMPLETE
52,NE-CHAMBERS_WEST,47103 849th Road, Amelia,NE,68711,HOLT,42.13008,-99.06002,Site ID 52 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,1297631,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,NIOBRARA VALLEY,93856921,VIAERO,Chris Bolton,118,224,226,72,181,60,126,60,84,NA,26,Mack Gees,8/13/2025,3:55:00 PM,5:15:00 PM,None,1225 / KEYED,X,X,X,9/17/2025,COMPLETE
228,NE-WOLBACH,814 Drummond Ave, Wolbach,NE,68882,GREELEY,41.39881,-98.38771,Site ID 228 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,1243257,Chris Bolton 308-370-1857  chris.bolton@viaero.com,GUYED (190'),COMPOUND,HOWARD-GREELY RURAL PUBLIC DISTRICT,335765362,Microwave,Chris Bolton,90,96,24,96,120,240,12,96,120,NA,NA,Derrick Molehill/Jamey Lott,9/16/2025,3:09:00 PM,4:09:00 PM,Overgrown W/ weeds and nearly inaccessable (see photos),1225 / KEYED,X,X,X,10/15/2025,COMPLETE
233,NE-ST_PAUL,973 14th Ave, St. Paul,NE,68873,HOWARD,41.23455556,-98.45684722,Site ID 233 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,1247141,Chris Bolton 308-370-1857  chris.bolton@viaero.com,GUYED (195'),COMPOUND,HOWARD-GREELY RURAL PUBLIC DISTRICT,333736201,Microwave,Chris Bolton,120,74,182,62,145,36,60,36,86,NA,NA,Mack Gees,8/13/2025,4:00:00 PM,5:45:00 PM,none,1225 / KEYED,X,X,X,10/19/2025,COMPLETE
234,NE-GREELEY,81357 498th Ave, Greeley,NE,68842,GREELEY,41.61841667,-98.51230556,Site ID 234 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,1242804,Chris Bolton 308-370-1857  chris.bolton@viaero.com,GUYED (260'),COMPOUND,HOWARD-GREELY RURAL PUBLIC DISTRICT,333736525,VIAERO,Chris Bolton,136,48,150,64,96,185,215,48,60,NA,NA,Derrick Molehill/Jamey Lott,9/16/2025,5:00:00 PM,7:30:00 PM,None,1225 / Keyed,X,X,X,9/23/2025,COMPLETE
246,NE-CHAMBERS,85158 U.S. Hwy 281, Chambers,NE,68725,HOLT,42.17,-98.64953,Site ID 246 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,1244397,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (227' 6"")",COMPOUND,NIOBRARA VALLEY,93858843,Microwave,Chris Bolton,102,207,194,105,177,122,48,105,27,NA,26,Mack Gees,8/13/2025,2:00:00 PM,3:18:00 PM,None,1225 / KEYED,X,X,X,9/17/2025,COMPLETE
329,NE-BURWELL_DT_HUB,180 Grand Ave, Burwell,NE,68823,GARFIELD,41.78186,-99.13524,Site ID 329 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,,Chris Bolton 308-370-1857  chris.bolton@viaero.com,ROOFTOP,ROOFTOP,LOUP VALLEY RPPD,356371695,VIAERO,Chris Bolton,36,36,40,40,40,60,60,60,960,NA,NA,Mack Gees,8/12/2025,10:30:00 AM,11:40:00 AM,Will need special acess POC(tech)to Access the Roof top- hatch you will need lighting no lights to access roff hatch and will need to have real working ladder at CX to access roof top or man lift,1225 / KEYED,X,X,X,"9/16/2025
9/17/2025",COMPLETE
400,NE-LOUP_CITY,"1225 ""O"" Street", Loup City,NE,68853,SHERMAN,41.27467,-98.97527,Site ID 400 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,1276137,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (147' 6"")",COMPOUND,NPPD,143352865,VIAERO,Chris Bolton,108,249,305,150,180,180,96,150,96,NA,NA,Mack Gees,8/14/2025,1:30:00 PM,3:45:00 PM,None,1225 / KEYED,X,X,X,9/17/2025,COMPLETE
405,NE-COMSTOCK,46060 Sargent Ord Road, Comstock,NE,68828,CUSTER,41.595367,-99.238223,Site ID 405 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,1258516,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,NPPD,,Microwave,Chris Bolton,92,36,125,96,126,420,25,105,120,NA,NA,Derrick Molehill,8/19/2025,11:10:00 AM,12:15:00 PM,Need Special access-tech,1225 / KEYED,X,X,X,9/23/2025,COMPLETE
406,NE-ASHTON,78784 483rd Avenue, Ashton,NE,68817,SHERMAN,41.24755556,-98.80363889,Site ID 406 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,1265987,Chris Bolton 308-370-1857  chris.bolton@viaero.com,GUYED (195'),COMPOUND,DAWSON PUBLIC POWER,143472030,Microwave,Chris Bolton,104,218,224,152,132,186,60,152,96,NA,48,Mack Gees,8/14/2025,6:05:00 PM,8:05:00 PM,COMPOUND WASH OUT ON THE BACK SIDE OF THE COMPOUND,1225 / KEYED,X,X,X,"9/16/2025
9/17/2025",COMPLETE
435,NE-DRY_VALLEY,45250 Weissert Road, Weissert,NE,68814,CUSTER,41.47031,-99.39386,Site ID 435 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,1258511,Chris Bolton 308-370-1857  chris.bolton@viaero.com,GUYED (195'),COMPOUND,CUSTER PUBLIC ELECTRIC,337952153,VIAERO,Joe Dilks,104,208,222,127,125,128,48,128,60,NA,4,Mack Gees,8/13/2025,7:35:00 PM,9:35:00 PM, New Verizon location completed and Viareo fiberback haul  install in progress,1225/ keyed,X,X,X,9/3/2025,COMPLETE
440,NE-COTESFIELD,1916 23rd Avenue, Cotesfield,NE,68835,HOWARD,41.36580556,-98.64361111,Site ID 440 Phase Priority P2-7,Phase 3,INDUSTRIAL TOWER WEST,1260801,Chris Bolton 308-370-1857  chris.bolton@viaero.com,GUYED (200'),COMPOUND,HOWARD-GREELY RURAL PUBLIC DISTRICT,335766127,VIAERO,Chris Bolton,108,48,132,96,120,120,48,120,84,NA,48,Mack Gees,8/12/2025,11:40:00 AM,1:20:00 PM,None,1225 / KEYED,X,X,X,9/17/2025,COMPLETE
